Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
2007-01-11,1168495200.0,WM,25.79,-13.38,1423.82,-1.6,-11.78,N/A,13.21,2.98,1.64,23.77,52.30,0.99,13.74,14.738,42200000000.0,125630000000.0,N/A,1.33,8.87,N/A,8.87,17940000000.0,N/A,3370000000.0,3.40,8.90,6.00,17140000000.0,18.251,100080000000.0,N/A,27.474001,25850000000.0,0.65,0.30,73.60,24080000.0,7.5,2.60,23130000.0,0.0
2012-07-06,1341550800.0,WM,28.03,28.54,1354.68,20.46,8.08,152.58,16.44,1.13,2.50,6.97,15.18,5.83,15.19,29.10,28490000000.0,28490000000.0,13.42,1.51,2.10,8.62,2.10,4840000000.0,8.62,946000000.0,2.02,8.10,6.20,189000000.0,0.41,9890000000.0,0.75,13.31,2340000000.0,0.67,5.04,79.90,29350000.0,7.40,6.40,28600000.0,1.0
2007-04-27,1177650000.0,WM,26.74,-4.38,1494.07,-6.44,2.06,N/A,12.06,2.75,1.55,24.77,50.38,0.87,11.60,14.673,37450000000.0,93200000000.0,N/A,1.10,6.88,N/A,6.88,20190000000.0,N/A,2910000000.0,3.52,20.40,6.60,17620000000.0,19.97,73050000000.0,N/A,27.305,N/A,0.53,0.28,85.50,29770000.0,4.4,3.40,24680000.0,1.0
2013-05-09,1368075600.0,WM,36.19,10.14,1626.67,15.48,-5.34,149.63,23.55,1.42,3.03,5.95,14.68,5.50,12.93,29.47,32340000000.000004,32340000000.000004,17.25,2.55,2.36,9.76,2.36,4770000000.0,9.76,814000000.0,1.75,1.80,1.20,307000000.0,0.66,10050000000.0,0.78,13.71,2400000000.0,0.65,5.42,79.80,18350000.0,7.80,3.90,18250000.0,0.0
2005-04-11,1113195600.0,WM,19.81,24.33,1181.21,8.92,15.41,N/A,13.98,3.03,1.61,21.84,60.86,0.87,12.09,12.839,34470000000.0,68410000000.0,10.05,1.12,6.03,N/A,6.03,16920000000.000002,N/A,2480000000.0,2.81,25.80,10.90,4460000000.0,5.07,38490000000.0,N/A,24.278999,19700000000.0,0.194,1.00,72.57,22050000.0,6.497,2.53,19240000.0,1.0
2005-02-22,1109052000.0,WM,19.45,19.18,1184.16,9.16,10.02,N/A,14.71,3.21,1.71,21.84,60.86,0.87,12.09,12.839,36060000000.0,70100000000.0,10.52,1.18,6.18,N/A,6.18,19120000000.0,N/A,2480000000.0,2.81,0.40,14.40,4460000000.0,5.1,38490000000.0,N/A,24.278999,5050000000.0,0.325,1.00,69.82,19780000.0,8.268,2.29,21020000.0,1.0
2003-11-10,1068444000.0,WM,17.21,13.95,1047.11,11.17,2.78,N/A,10.62,3.23,2.04,31.15,57.42,1.46,19.68,13.923,42090000000.0,75060000000.0,9.62,0.85,5.79,N/A,5.79,22200000000.0,N/A,4040000000.0,4.339,25.10,38.40,5810000000.0,6.36,39030000000.0,N/A,22.46,N/A,0.36,2.00,79.32,24440000.0,5.11,2.73,24770000.0,1.0
2007-03-15,1173934800.0,WM,23.58,-0.68,1392.28,-7.48,6.8,N/A,11.09,2.55,1.42,25.71,51.08,0.90,11.48,14.591,35660000000.0,114510000000.0,N/A,0.97,8.28,N/A,8.28,20190000000.0,N/A,3110000000.0,3.64,22.30,8.50,15130000000.0,17.128,93880000000.0,N/A,28.033001,7270000000.0,0.6,0.27,79.90,24680000.0,5.1,2.80,27750000.0,1.0
2004-06-21,1087794000.0,WM,19.18,0.0,1130.3,7.37,-7.37,N/A,10.84,3.04,1.74,29.71,63.13,1.23,16.97,12.791,35440000000.0,65940000000.0,9.10,0.88,5.66,N/A,5.66,19120000000.0,N/A,3460000000.0,3.754,0.40,14.40,6040000000.0,6.94,36500000000.0,N/A,23.457001,11760000000.0,0.321,2.00,73.51,25400000.0,6.242,2.98,25240000.0,0.0
2013-04-23,1366693200.0,WM,33.91,12.39,1578.78,18.79,-6.4,149.18,21.89,1.32,2.83,5.99,14.66,5.48,13.17,29.44,31160000000.0,31160000000.0,16.26,3.38,2.28,9.45,2.28,4770000000.0,9.45,817000000.0,1.76,15.80,0.80,194000000.0,0.42,9960000000.0,0.80,13.69,2300000000.0,0.65,5.42,79.80,18250000.0,7.60,3.90,19350000.0,0.0
