,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
218,N/A,N/A,TIF,N/A,N/A,N/A,N/A,N/A,33.84,25.73,2.93,3.77,11.46,18.92,9.20,11900000000.0,32.65,11900000000.0,11930000000.0,22.11,2.44,2.94,12.26,2.94,2490000000.0,11900000000.0,N/A,3.72,5.40,2.80,1010000000.0,8.12,1070000000.0000001,5.44,25.38,726600000.0,11900000000.0,0.78,94.08,N/A,4.63,4.60,4590000.0,N/A
219,N/A,N/A,WM,N/A,N/A,N/A,N/A,N/A,176.32,27.11,2.57,6.96,9.66,17.94,7.68,36720000000.0,32.45,36720000000.0,49140000000.0,24.23,2.51,3.44,12.56,3.44,5120000000.0,36720000000.0,N/A,3.12,27.80,4.70,0.08,0.08,9350000000.0,0.71,12.16,3100000000.0,36720000000.0,0.65,80.60,N/A,0.08,0.00,1.7,N/A
220,N/A,N/A,MCK,N/A,N/A,N/A,N/A,N/A,66.12,7.23,0.16,2.85,2.24,1.48,3.06,31810000000.0,948.15,31810000000.0,37160000000.0,11.78,3.42,0.18,9.57,0.18,11270000000.0,31810000000.0,N/A,21.12,99.70,4.20,2560000000.0,12.29,8449999999.999999,1.05,53.45,3160000000.0,31810000000.0,2.66,0.00,N/A,0.00,0.00,1.36,N/A
221,N/A,N/A,LLY,N/A,N/A,N/A,N/A,N/A,90.44,41.15,4.03,6.12,9.90,20.93,7.29,90530000000.0,21.29,90530000000.0,97040000000.0,18.67,1.73,4.32,15.65,4.32,15570000000.0,90530000000.0,N/A,2.10,28.60,9.00,6950000000.0,6.59,13530000000.0,1.38,14.14,5880000000.0,90530000000.0,0.25,78.65,N/A,3.36,1.15,9770000.0,N/A
222,N/A,N/A,SYY,N/A,N/A,N/A,N/A,N/A,387.65,28.67,0.58,14.62,2.12,4.07,7.82,32640000000.0,104.49,32640000000.0,39820000000.0,20.95,2.59,0.71,13.11,0.71,10560000000.0,32640000000.0,N/A,2.18,13.50,4.90,909430000.0,1.75,8990000000.0,1.40,4.28,2009999999.9999998,32640000000.0,0.27,82.84,N/A,5.88,2.96,15200000.0,N/A
223,N/A,N/A,ETFC,N/A,N/A,N/A,N/A,N/A,44.90,23.66,5.61,2.18,25.55,43.76,1.12,13420000000.0,8.72,13420000000.0,14310000000.0,19.30,1.31,5.97,25.55,5.97,2089999999.9999998,13420000000.0,N/A,2.13,5.80,14.60,2170000000.0,8.01,2980000000.0,1.37,23.10,1540000000.0,13420000000.0,0.51,98.21,N/A,2.22,1.87,4820000.0,N/A
224,N/A,N/A,CL,N/A,N/A,N/A,N/A,N/A,445.32,28.31,4.21,4.54,15.09,25.77,19.38,64379999999.99999,17.29,64379999999.99999,69390000000.0,23.88,3.38,4.54,15.78,4.54,9120000000.0,64379999999.99999,N/A,2.59,13.50,2.80,1600000000.0,1.82,6530000000.0,1.23,0.12,3120000000.0,64379999999.99999,0.35,75.36,N/A,1.88,0.89,5530000.0,N/A
225,N/A,N/A,URBN,N/A,N/A,N/A,N/A,N/A,2.29,22.12,1.01,2.79,4.81,7.67,8.89,3580000000.0,31.23,3580000000.0,3190000000.0,19.13,1.98,0.90,7.93,0.90,1240000000.0,3580000000.0,N/A,1.50,4.80,3.50,327950000.0,3.03,2.29,2.29,11.87,0.75,3580000000.0,37.39,88.17,N/A,9.24,31.04,23220000.0,N/A
226,N/A,N/A,FIS,N/A,N/A,N/A,N/A,N/A,90.29,59.31,3.46,3.20,5.82,18.19,4.17,40400000000.0,28.02,40400000000.0,40400000000.0,19.72,1.75,4.37,15.97,4.37,3010000000.0,40400000000.0,N/A,1.62,67.00,4.80,2.16,2.16,9110000000.0,1.25,29.99,1660000000.0,40400000000.0,0.80,89.81,N/A,1.92,1.01,3860000.0,N/A
227,N/A,N/A,DVN,N/A,N/A,N/A,N/A,N/A,87.69,12.95,1.59,2.80,12.32,14.27,4.12,27210000000.0,24.22,27210000000.0,27210000000.0,17.14,3.95,2.16,8.02,2.16,10620000000.0,27210000000.0,N/A,2.94,77.00,17.90,2780000000.0,5.29,10470000000.0,1.63,13.58,2930000000.0,27210000000.0,4.83,79.66,N/A,2.06,2.18,11350000.0,N/A
228,N/A,N/A,XRX,N/A,N/A,N/A,N/A,N/A,107.03,8.38,0.73,1.41,4.53,9.49,2.93,7530000000.0,40.35,7530000000.0,11750000000.0,8.38,79.36,1.15,8.20,1.15,4260000000.0,7530000000.0,N/A,1.89,2.20,5.00,1780000000.0,107.03,107.03,1.63,21.04,1690000000.0,7530000000.0,6.42,87.89,N/A,2.2,2.33,6470000.0,N/A
229,N/A,N/A,NRG,N/A,N/A,N/A,N/A,N/A,449.88,13.02,0.74,7.56,13.21,8.38,2.23,8950000000.0,38.28,8950000000.0,25430000000.0,13.02,0.24,2.09,10.45,2.09,3800000000.0,8950000000.0,N/A,5.06,57.50,10.90,1230000000.0,3.88,16980000000.0,1.28,3.74,1140000000.0,8950000000.0,0.58,102.05,N/A,0.00,0.00,0.12,N/A
230,N/A,N/A,DO,N/A,N/A,N/A,N/A,N/A,51.83,13.58,1.51,0.59,11.11,20.67,3.07,2250000000.0,10.92,2250000000.0,3920000000.0,117.36,1.03,2.61,5.95,2.61,1540000000.0,2250000000.0,N/A,1.21,22.50,5.30,276690000.0,2.02,1970000000.0,3.58,27.73,521200000.00000006,2250000000.0,0.13,118.56,N/A,11.78,49.08,33700000.0,N/A
231,N/A,N/A,EXPD,N/A,N/A,N/A,N/A,N/A,2.34,27.08,1.72,5.79,6.50,10.11,14.31,11450000000.0,37.03,11450000000.0,10370000000.0,24.79,3.86,1.56,14.37,1.56,2160000000.0,11450000000.0,N/A,2.38,11.80,15.30,1030000000.0,5.82,2.34,2.34,11.14,434420000.0,11450000000.0,0.95,98.47,N/A,8.98,5.91,9450000.0,N/A
232,N/A,N/A,PKI,N/A,N/A,N/A,N/A,N/A,43.79,19.64,3.59,3.09,18.27,14.91,4.50,7830000000.0,19.90,7830000000.0,8130000000.000001,20.47,2.16,3.72,19.07,3.72,1010000000.0,7830000000.0,N/A,3.62,56.70,7.70,709490000.0,6.44,1110000000.0,2.59,23.01,309080000.0,7830000000.0,0.90,95.97,N/A,3.72,2.11,2460000.0,N/A
233,N/A,N/A,CBS,N/A,N/A,N/A,N/A,N/A,323.61,84.14,1.66,7.68,2.14,21.17,7.36,22010000000.0,32.45,22010000000.0,32439999999.999996,11.49,0.94,2.44,10.68,2.44,3040000000.0,22010000000.0,N/A,0.68,23.80,2.80,0.36,0.36,9690000000.0,1.55,7.49,1370000000.0,22010000000.0,10.84,0.00,N/A,0.00,0.00,0.72,N/A
234,N/A,N/A,DVA,N/A,N/A,N/A,N/A,N/A,151.74,25.47,0.82,2.68,3.40,10.96,5.49,12410000000.0,79.41,12410000000.0,20420000000.0,18.97,1.56,1.34,8.38,1.34,4099999999.9999995,12410000000.0,N/A,2.66,983470000.0,5.30,983470000.0,5.36,9100000000.0,1.40,25.28,2049999999.9999998,12410000000.0,2.01,91.71,N/A,0.00,0.00,N/A,N/A
235,N/A,N/A,DFS,N/A,N/A,N/A,N/A,N/A,239.09,12.69,3.74,2.54,31.76,50.65,2.42,26820000000.0,18.75,26820000000.0,40190000000.0,11.15,1.59,5.61,31.76,5.61,2220000000.0,26820000000.0,N/A,5.82,5.80,0.30,13250000000.0,36.47,26750000000.0,1.53,29.03,4880000000.0,26820000000.0,14.05,0.00,N/A,1.95,1.21,4680000.0,N/A
236,N/A,N/A,BBBY,N/A,N/A,N/A,N/A,N/A,54.81,5.90,0.27,1.18,4.64,8.00,9.05,3310000000.0,84.84,3310000000.0,4170000000.0,8.45,0.53,0.34,3.28,0.34,4580000000.0,3310000000.0,N/A,3.91,43.70,1.70,464060000.0,3.34,1490000000.0,1.77,19.57,936790000.0,3310000000.0,3.52,99.48,N/A,6.48,16.47,0.6,N/A
237,N/A,N/A,MDT,N/A,N/A,N/A,N/A,N/A,38.02,22.30,3.70,2.13,0.00,21.61,29640000000.0,109730000000.0,21.72,109730000000.0,22.30,15.68,2.30,0.00,0.00,0.00,20420000000.0,109730000000.0,N/A,3.64,13530000000.0,20420000000.0,13530000000.0,29080000000.0,29080000000.0,38.02,38.02,5500000000.0,109730000000.0,0.05,84.96,N/A,1.86,0.62,9020000.0,N/A
238,N/A,N/A,BIIB,N/A,N/A,N/A,N/A,N/A,50.68,20.01,5.82,5.36,29.44,47.02,15.40,68890000000.0,55.35,68890000000.0,70580000000.0,13.68,2.27,5.96,10.55,5.96,9970000000.0,68890000000.0,N/A,16.28,18.70,4.10,3510000000.0,16.59,6510000000.0,2.19,60.81,4550000000.0,68890000000.0,0.29,91.57,N/A,2.2,1.60,2560000.0,N/A
239,N/A,N/A,LIFE,N/A,N/A,N/A,N/A,N/A,20.40,1.64,1.64,1.64,0.00,0.00,33.58,119030000.0,47700000.0,119030000.0,40420000.0,1.64,1.64,0.85,0.85,0.85,47700000.0,119030000.0,N/A,2.03,90380000.0,47700000.0,90380000.0,3.04,14750000.0,9.49,2.43,43750000.0,119030000.0,85.60,0.00,N/A,3.61,2.31,N/A,N/A
240,N/A,N/A,APA,N/A,N/A,N/A,N/A,N/A,101.26,23.26,2.78,2.21,11.93,5.95,0.92,15500000000.0,14.67,15500000000.0,22210000000.0,72.68,104.72,3.98,8.57,3.98,3670000000.0,15500000000.0,N/A,1.75,1850000000.0,3.50,1850000000.0,4.85,8480000000.0,1.53,18.41,2560000000.0,15500000000.0,0.16,98.07,N/A,7.24,6.82,26960000.0,N/A
241,N/A,N/A,PPL,N/A,N/A,N/A,N/A,N/A,195.23,15.62,3.23,2.22,20.60,40.65,4.74,23750000000.0,10.77,23750000000.0,44310000000.0,14.81,538.00,6.03,10.90,6.03,6020000000.0,23750000000.0,N/A,2.21,24.90,2.30,0.98,0.98,20870000000.0,0.56,15.54,2410000000.0,23750000000.0,0.28,49.22,N/A,2.88,1.41,8630000.0,N/A
242,N/A,N/A,AET,N/A,N/A,N/A,N/A,N/A,64.22,34.71,0.97,3.82,2.93,8.66,5.14,59600000000.0,180.91,59600000000.0,59830000000.0,18.20,1.72,0.97,10.00,0.97,16800000000.0,59600000000.0,N/A,5.26,38.70,5.00,8640000000.0,26.5,10160000000.0,0.83,47.79,1320000000.0,59600000000.0,0.41,90.74,N/A,0.89,0.85,2430000.0,N/A
243,N/A,N/A,ED,N/A,N/A,N/A,N/A,N/A,103.86,22.35,2.34,1.83,10.41,21.59,3.29,27570000000.0,38.53,27570000000.0,43060000000.0,20.87,6.70,3.66,11.18,3.66,5720000000.0,27570000000.0,N/A,3.98,8.00,6.00,0.22,0.22,15690000000.0,0.79,48.72,3350000000.0,27570000000.0,0.18,58.33,N/A,6.9,3.33,9970000.0,N/A
